data name,rate,origin shape,origin range,filtered shape,filtered range,expr min,expr max,end idx
10X329_2_matrix.h5,0.122,"(6720, 20812)",2370.0,"(820, 20812)",449.0,546,7890,57457760
10X319_2_matrix.h5,0.1585,"(5242, 20269)",2969.0,"(831, 20269)",733.0,657,8627,57458591
10X265_5_matrix.h5,0.0869,"(7100, 21077)",4785.0,"(617, 21077)",626.0,704,8981,57459208
10X391_2_matrix.h5,0.6818,"(4636, 20399)",6184.0,"(3161, 20399)",701.0,589,9027,57462369
10X237_3_matrix.h5,0.9718,"(6953, 18991)",596.0,"(6757, 18991)",442.0,635,4115,57469126
10X393_7_matrix.h5,0.8714,"(5568, 19641)",3423.0,"(4852, 19641)",777.0,549,6768,57473978
10X360_7_matrix.h5,0.1451,"(9711, 21115)",7023.0,"(1409, 21115)",845.0,608,8190,57475387
10X191_4_matrix.h5,0.2221,"(5331, 20506)",3675.0,"(1184, 20506)",543.0,819,9819,57476571
10X230_3_matrix.h5,0.6037,"(4138, 20063)",5211.0,"(2498, 20063)",712.0,501,9028,57479069
10X222_1_matrix.h5,0.9084,"(8124, 19442)",1884.0,"(7380, 19442)",555.0,656,7182,57486449
10X392_5_matrix.h5,0.657,"(3050, 19400)",4694.0,"(2004, 19400)",686.0,515,7457,57488453
10X269_3_matrix.h5,0.1298,"(4538, 20141)",4086.0,"(589, 20141)",703.0,707,8136,57489042
10X360_5_matrix.h5,0.6166,"(2230, 19757)",5149.0,"(1375, 19757)",487.0,584,8047,57490417
10X277_1_matrix.h5,0.0941,"(6472, 20832)",3483.0,"(609, 20832)",733.0,723,7556,57491026
10X418_6_matrix.h5,0.063,"(365, 18825)",3155.0,"(23, 18825)",573.0,897,9306,57491049
10X418_4_matrix.h5,0.0594,"(5238, 21380)",6552.0,"(311, 21380)",680.0,668,10819,57491360
10X264_4_matrix.h5,0.1177,"(5583, 20761)",3500.0,"(657, 20761)",561.0,547,8642,57492017
10X393_8_matrix.h5,0.8723,"(6585, 19692)",4674.0,"(5744, 19692)",711.0,563,7238,57497761
10X243_2_matrix.h5,0.8907,"(5811, 19394)",5542.0,"(5176, 19394)",531.0,588,7705,57502937
10X221_5_matrix.h5,0.8421,"(4871, 19004)",1106.0,"(4102, 19004)",448.0,548,6452,57507039
